92_14545.html,4,40,あたり,名詞,一般,,,,,あたり,アタリ,アタリ
92_14545.html,4,41,へ,助詞,格助詞,一般,,,,へ,ヘ,エ
92_14545.html,4,42,溢れ,動詞,自立,,,一段,連用形,溢れる,アフレ,アフレ
92_14545.html,4,43,て,助詞,接続助詞,,,,,て,テ,テ
92_14545.html,4,44,居り,動詞,自立,,,五段・ラ行,連用形,居る,オリ,オリ
92_14545.html,4,45,ます,助動詞,,,,特殊・マス,基本形,ます,マス,マス
92_14545.html,4,46,。,記号,句点,,,,,。,。,。
92_14545.html,5,1,極楽,名詞,一般,,,,,極楽,ゴクラク,ゴクラク
92_14545.html,5,2,は,助詞,係助詞,,,,,は,ハ,ワ
92_14545.html,5,3,丁度,副詞,一般,,,,,丁度,チョウド,チョード
92_14545.html,5,4,朝,名詞,副詞可能,,,,,朝,アサ,アサ
92_14545.html,5,5,な,助動詞,,,,特殊・ダ,体言接続,だ,ナ,ナ
92_14545.html,5,6,の,名詞,非自立,一般,,,,の,ノ,ノ
92_14545.html,5,7,で,助動詞,,,,特殊・ダ,連用形,だ,デ,デ
92_14545.html,5,8,ござい,助動詞,,,,五段・ラ行特殊,連用形,ござる,ゴザイ,ゴザイ
92_14545.html,5,9,ましょ,助動詞,,,,特殊・マス,未然ウ接続,ます,マショ,マショ
92_14545.html,5,10,う,助動詞,,,,不変化型,基本形,う,ウ,ウ
92_14545.html,5,11,。,記号,句点,,,,,。,。,。
92_14545.html,6,1,やがて,副詞,一般,,,,,やがて,ヤガテ,ヤガテ
92_14545.html,6,2,御釈迦様,名詞,一般,,,,,御釈迦様,オシャカサマ,オシャカサマ
92_14545.html,6,3,は,助詞,係助詞,,,,,は,ハ,ワ
92_14545.html,6,4,その,連体詞,,,,,,その,ソノ,ソノ
92_14545.html,6,5,池,名詞,一般,,,,,池,イケ,イケ
92_14545.html,6,6,の,助詞,連体化,,,,,の,ノ,ノ
92_14545.html,6,7,ふち,名詞,一般,,,,,ふち,フチ,フチ
92_14545.html,6,8,に,助詞,格助詞,一般,,,,に,ニ,ニ
92_14545.html,6,9,御,接頭詞,名詞接続,,,,,御,ゴ,ゴ
92_14545.html,6,10,佇み,動詞,自立,,,五段・マ行,連用形,佇む,タタズミ,タタズミ
92_14545.html,6,11,に,助詞,格助詞,一般,,,,に,ニ,ニ
92_14545.html,6,12,なっ,動詞,自立,,,五段・ラ行,連用タ接続,なる,ナッ,ナッ
92_14545.html,6,13,て,助詞,接続助詞,,,,,て,テ,テ
92_14545.html,6,14,、,記号,読点,,,,,、,、,、
92_14545.html,6,15,水,名詞,一般,,,,,水,ミズ,ミズ
92_14545.html,6,16,の,助詞,連体化,,,,,の,ノ,ノ
92_14545.html,6,17,面,名詞,一般,,,,,面,メン,メン
92_14545.html,6,18,を,助詞,格助詞,一般,,,,を,ヲ,ヲ
92_14545.html,6,19,蔽っ,動詞,自立,,,五段・ワ行促音便,連用タ接続,蔽う,オオッ,オオッ
92_14545.html,6,20,て,助詞,接続助詞,,,,,て,テ,テ
92_14545.html,6,21,いる,動詞,非自立,,,一段,基本形,いる,イル,イル
92_14545.html,6,22,蓮,名詞,一般,,,,,蓮,ハチス,ハチス
92_14545.html,6,23,の,助詞,連体化,,,,,の,ノ,ノ
92_14545.html,6,24,葉,名詞,一般,,,,,葉,ハ,ハ
92_14545.html,6,25,の,助詞,連体化,,,,,の,ノ,ノ
92_14545.html,6,26,間,名詞,一般,,,,,間,マ,マ
92_14545.html,6,27,から,助詞,格助詞,一般,,,,から,カラ,カラ
92_14545.html,6,28,、,記号,読点,,,,,、,、,、
92_14545.html,6,29,ふと,副詞,一般,,,,,ふと,フト,フト
92_14545.html,6,30,下,名詞,一般,,,,,下,シタ,シタ
92_14545.html,6,31,の,助詞,連体化,,,,,の,ノ,ノ
92_14545.html,6,32,容子,名詞,一般,,,,,容子,ヨウス,ヨース
92_14545.html,6,33,を,助詞,格助詞,一般,,,,を,ヲ,ヲ
92_14545.html,6,34,御覧,名詞,一般,,,,,御覧,ゴラン,ゴラン
92_14545.html,6,35,に,助詞,格助詞,一般,,,,に,ニ,ニ
92_14545.html,6,36,なり,動詞,自立,,,五段・ラ行,連用形,なる,ナリ,ナリ
92_14545.html,6,37,まし,助動詞,,,,特殊・マス,連用形,ます,マシ,マシ
92_14545.html,6,38,た,助動詞,,,,特殊・タ,基本形,た,タ,タ
92_14545.html,6,39,。,記号,句点,,,,,。,。,。
92_14545.html,7,1,この,連体詞,,,,,,この,コノ,コノ
92_14545.html,7,2,極楽,名詞,一般,,,,,極楽,ゴクラク,ゴクラク
92_14545.html,7,3,の,助詞,連体化,,,,,の,ノ,ノ
92_14545.html,7,4,蓮池,名詞,固有名詞,人名,姓,,,蓮池,ハスイケ,ハスイケ
92_14545.html,7,5,の,助詞,連体化,,,,,の,ノ,ノ
92_14545.html,7,6,下,名詞,一般,,,,,下,シタ,シタ
92_14545.html,7,7,は,助詞,係助詞,,,,,は,ハ,ワ
92_14545.html,7,8,、,記号,読点,,,,,、,、,、
92_14545.html,7,9,丁度,副詞,一般,,,,,丁度,チョウド,チョード
92_14545.html,7,10,地獄,名詞,一般,,,,,地獄,ジゴク,ジゴク
92_14545.html,7,11,の,助詞,連体化,,,,,の,ノ,ノ
92_14545.html,7,12,底,名詞,一般,,,,,底,ソコ,ソコ
92_14545.html,7,13,に,助詞,格助詞,一般,,,,に,ニ,ニ
92_14545.html,7,14,当っ,動詞,自立,,,五段・ラ行,連用タ接続,当る,アタッ,アタッ
92_14545.html,7,15,て,助詞,接続助詞,,,,,て,テ,テ
92_14545.html,7,16,居り,動詞,自立,,,五段・ラ行,連用形,居る,オリ,オリ
92_14545.html,7,17,ます,助動詞,,,,特殊・マス,基本形,ます,マス,マス
